y_offset,z_offset,pitch,yaw,ik_code,state_valid,contacts,distance_from_original_contact
-0.015,0.005,-150.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-150.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-150.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-150.0,85.0,1,True,,0.015811388300841896
0.005,0.015,-150.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-150.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-150.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-150.0,100.0,1,True,,0.015811388300841896
-0.015,0.01,-179.9,90.0,1,True,,0.018027756377319945
-0.01,0.015,-179.9,90.0,1,True,,0.018027756377319945
0.01,0.015,-179.9,90.0,1,True,,0.018027756377319945
-0.015,0.01,-179.9,85.0,1,True,,0.018027756377319945
-0.015,0.01,-179.9,95.0,1,True,,0.018027756377319945
